"permalink","text","numLines","images","likes","comments","shares","liked","fullName","subtitle","profileUrl"
"https://www.linkedin.com/posts/jeffweiner08_figma-ceo-dylan-field-on-the-failed-adobe-activity-7175559736405155840--vP8?utm_source=combined_share_message&utm_medium=member_desktop_web","Figma co-founder and CEO Dylan Field shares his vision for the future of AI, design and human creativity. He’s increasingly optimistic that innovation will “lower the floor and raise the ceiling” for what people can accomplish. An excellent South by interview with The Verge’s Nilay Patel.",3,"",1108,318,90,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_how-does-this-heineken-beer-commercial-reduce-activity-7166532090644185088-gIId?utm_source=combined_share_message&utm_medium=member_desktop_web","Brilliant. Kudos to the folks at Heineken for putting this together. Reminds me of the excellent work StoryCorps is now doing with their One Small Step  program that helps set up 1:1 interviews between people with differing perspectives. cc: Dave I.",3,"",388,93,41,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_arc-search-combines-browser-search-engine-activity-7157547265400680448-tT6w?utm_source=combined_share_message&utm_medium=member_desktop_web","While the focus on AI interfaces of the future has typically been centered on the concept of Agents, arguably the most logical interface of all has been right in front of us all along: the browser. The Browser Company has been hard at work reimagaining what an AI capable browser can be, and just launched the first of many exciting innovations they will be releasing towards achieving their vision. Congrats to Josh Miller, Hursh Agrawal, and the incredibly talented team at The Browser Company on the launch of Arc Search and a new era of Smart Browsing.",3,"",860,77,39,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_what-boardrooms-and-babysitters-have-in-common-activity-7157089632671670273-HQ-M?utm_source=combined_share_message&utm_medium=member_desktop_web","According to Him For Her founder and CEO Jocelyn Mangan, solving for thought diversity in the boardroom isn’t a pipeline problem, it’s a network problem. In this video, Jocelyn explains why solving this issue is so important and can be accomplished within the next ten years.",3,"",279,28,12,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_opinion-that-numbness-youre-feeling-there-activity-7150934731478491137-5Hge?utm_source=combined_share_message&utm_medium=member_desktop_web","Well articulated reminder from Adam Grant that compassion and empathy are not synonymous. Compassion = Empathy + Action.",3,"",479,60,31,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_linkedin-hits-1-billion-members-adds-ai-activity-7125549827253297152-C9Bp?utm_source=combined_share_message&utm_medium=member_desktop_web","Don't typically comment on quantifiable milestones here as they're all part of the process, but 1B members is worth making an exception for. Congrats to every member of the team who worked so hard to make this possible. The best is yet to come.",3,"",3348,246,105,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_the-worlds-happiest-man-shares-his-three-activity-7097950246294499329-ARXP?utm_source=combined_share_message&utm_medium=member_desktop_web","In 2015, had the great privilege of interviewing Matthieu Ricard. Was instantly brought back to the timeless wisdom and compassion he shared then in his most recent interview with the New York Times.",3,"",715,104,126,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_att-you-will-commercials-high-quality-activity-7070119126525952000-6UJI?utm_source=combined_share_message&utm_medium=member_desktop_web","Was recently reminded of the surprisingly prescient vision of the digital future portrayed in this series of AT&T commercials released in 1994: https://lnkd.in/d6cV-n3U. 

As futuristic as the innovations seemed when the ads were first released, many would go on to become mainstream within the next two decades. 

Have seen a number of videos in the last few years focusing on the specific application of new technologies, e.g., AR/VR, autonomous vehicles, drones/flying taxis, robotics, etc., and we're all familiar with classic sci-fi films focused on an increasingly AI driven future. 

However, curious if anyone has seen anything produced recently comparable to the AT&T ads depicting what a future leveraging all of these technologies might look like 20-30 years from now?",3,"",731,105,142,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_as-editor-of-wired-nicholas-thompson-was-activity-7047346652726059008-sOS7?utm_source=combined_share_message&utm_medium=member_desktop_web","As editor of WIRED, Nicholas Thompson, was one of the clearest and most insightful thinkers I knew regarding the implications of newly introduced technologies. As CEO of The Atlantic, he's now in a position to help his team navigate and leverage those advances. Here's a recent note he shared with them on the rise of AI that can be more broadly applied to others in the process of developing their approach.",3,"",970,98,144,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_storycorps-founder-dave-isay-believes-in-activity-7041400601787654145-pOQT?utm_source=combined_share_message&utm_medium=member_desktop_web","Dave and the StoryCorps team have been building on this work to enable individuals to tell their stories and facilitate connections between people with different perspectives for years. Great to see this kind of well-deserved spotlight on such an important effort.",3,"",373,51,28,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
"https://www.linkedin.com/posts/jeffweiner08_how-shaquille-oneal-made-himself-bigger-activity-7038914411838812160-6kju?utm_source=combined_share_message&utm_medium=member_desktop_web","What a great article — well worth the time to read. Love the clarity Shaquille O'Neal applies to the brands and businesses he gets involved with, all derived from his sense of personal connection, value and fun. Clear demonstration of the power of authenticity as a leader, entrepreneur and an investor. 

Daniel Roth and Ryan Roslansky, how about an interview on “The Path”?!",3,"",1728,120,112,false,"Jeff Weiner","Executive Chairman at LinkedIn / Founding Partner Next Play Ventures","https://www.linkedin.com/in/jeffweiner08"
