"permalink","text","numLines","images","likes","comments","shares","liked","fullName","subtitle","profileUrl"
"https://www.linkedin.com/posts/satyanadella_today-in-nature-magazine-our-mattergen-model-activity-7285726218019057664-AYIl?utm_source=combined_share_message&utm_medium=member_desktop_web","Today in Nature Magazine: Our MatterGen model represents a paradigm shift in materials design, applying generative AI to create new compounds with specific properties with unprecedented precision. Read more here: https://lnkd.in/gURKjUce",3,"",3448,131,248,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_announcing-microsoft-365-copilot-chat-making-activity-7285295635040215041-y_aq?utm_source=combined_share_message&utm_medium=member_desktop_web","Announcing Microsoft 365 Copilot Chat. Making AI more accessible to every employee in every business.

Learn more here: aka.ms/CopilotChat",3,"",12547,437,2006,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_mayo-clinic-accelerates-personalized-medicine-activity-7285003244957773826-TrmI?utm_source=combined_share_message&utm_medium=member_desktop_web","The foundation models we'll build with Mayo Clinic promise to help transform how radiologists do their work, using multimodal AI to help them analyze X-rays faster and more accurately.",3,"",918,52,69,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_there-is-no-more-waitlist-for-github-copilot-activity-7284341808090828800-Q5AF?utm_source=combined_share_message&utm_medium=member_desktop_web","There is no more waitlist for GitHub Copilot Workspace—the most advanced agentic editor. Start building with agents today. 

Sign up here: https://lnkd.in/g9WCJZDd",3,"",5872,195,624,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/jlavista_our-hearts-go-out-to-everyone-affected-by-activity-7283234111329128449-sHiI?utm_source=combined_share_message&utm_medium=member_desktop_web","Our hearts go out to everyone affected by the devastating fires in California.
In collaboration with Planet Labs, we leveraged our damage assessment AI models on high-resolution SkySat satellite imagery provided by Planet. This collaboration enabled us to map affected areas and generate critical insights to aid recovery efforts. These maps have been shared with organizations on the ground to assist in damage assessments and response planning.

Key Findings from Los Angeles Imagery Analysis:

17,835 buildings analyzed:

6,251 are obscured by clouds, shadow, or smoke.
9,229 are likely unaffected (as of 1/8, 2:21 PM PT).
2,355 are likely affected by the fires.

We acknowledge that these fires are ongoing, and the presence of smoke and other obstructions may result in additional impacted buildings that are not yet detectable.

This analysis represents a portion of the Palisades fire; other fires in the region are not included in this assessment. While these insights offer a valuable initial overview, they remain preliminary and require on-the-ground verification for a comprehensive understanding of the damage.

The AI for Good Lab remains steadfast in its commitment to supporting affected communities during this challenging time. 

If your organization would benefit from access to the underlying data in this report, please reach out to me. We are committed to sharing this information to support ongoing recovery efforts.

Explore the data through this interactive visualizer:

👉 https://lnkd.in/g6swWfh6",3,"",1369,49,149,false,"Juan M. Lavista Ferres","CVP and Chief Data Scientist at Microsoft","https://www.linkedin.com/in/jlavista"
"https://www.linkedin.com/posts/satyanadella_exciting-to-see-the-new-rtx-50-series-gpus-activity-7282934521698664448-vN0A?utm_source=combined_share_message&utm_medium=member_desktop_web","Exciting to see the new RTX 50-series GPUs and Windows Subsystem for Linux powering models from Nvidia NIM and Azure AI Foundry on Windows 11 PCs. A game-changer for running AI on the edge.",3,"",7054,212,397,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_chasing-peak-sugar-indias-sugar-cane-farmers-activity-7282642802788679680-wrYj?utm_source=combined_share_message&utm_medium=member_desktop_web","It was great to meet the team at ADT Baramati today, who are using our AI tools to help farmers grow healthier, more sustainable harvests.",3,"",1551,107,97,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_just-in-time-for-test-time-scaling-we-have-activity-7282435161617510400-PDnK?utm_source=combined_share_message&utm_medium=member_desktop_web","Just in time for test-time scaling, we have our first NVlink 72 clusters live in Azure. Here’s to the next generation of AI built on these systems!",3,"",13376,330,666,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_from-civil-servants-to-college-students-activity-7282347649188405248-V7v0?utm_source=combined_share_message&utm_medium=member_desktop_web","AI is already transforming the lives of people across India by creating new opportunities and jobs, as stories like Jui's, Raghavendra's, and Venkatesh's show. That's why we’re committed to helping to equip 10 million Indians with essential AI skills by 2030.",3,"",2477,145,130,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
"https://www.linkedin.com/posts/satyanadella_thrilled-to-announce-our-new-investments-activity-7282327169958080513-lG8J?utm_source=combined_share_message&utm_medium=member_desktop_web","Thrilled to announce our new investments in AI infrastructure and skilling in India to help accelerate the country’s AI transformation. https://lnkd.in/g5TYP7xJ",3,"",11127,275,478,false,"Satya Nadella","Chairman and CEO at Microsoft","https://www.linkedin.com/in/satyanadella"
